Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
11.81,-28.64788976,-14.32394488,-3.58098622,0.982653061,-0.007142857,-0.113265306,-115.6875,-10.5,21.6875
11.88,-10.74295866,-3.58098622,-3.58098622,0.978571429,-0.01122449,-0.115306122,-115.3125,-11.5625,22.75
11.94,-17.9049311,-7.161972439,0,0.982653061,-0.01122449,-0.11122449,-115.3125,-11.5625,22.75
12.00,-3.58098622,-10.74295866,0,0.982653061,-0.01122449,-0.101020408,-114.25,-11.5625,21.3125
12.06,-7.161972439,3.58098622,3.58098622,0.982653061,-0.013265306,-0.096938776,-114.25,-10.875,22.375
12.13,-14.32394488,-17.9049311,3.58098622,0.984693878,-0.017346939,-0.098979592,-114.25,-10.875,22.375
12.19,-28.64788976,-17.9049311,0,0.982653061,-0.017346939,-0.096938776,-115.3125,-11.5625,22.0625
12.25,-32.22887598,-17.9049311,-10.74295866,0.980612245,-0.01122449,-0.115306122,-115.3125,-11.1875,22.375
12.31,-17.9049311,-14.32394488,-7.161972439,0.980612245,-0.009183673,-0.113265306,-115.3125,-11.1875,22.375
12.38,-17.9049311,3.58098622,0,0.982653061,-0.007142857,-0.113265306,-113.1875,-11.1875,21.3125
12.44,3.58098622,0,7.161972439,0.982653061,-0.009183673,-0.105102041,-114.625,-10.875,22.375
12.50,-10.74295866,-7.161972439,7.161972439,0.982653061,-0.01122449,-0.098979592,-114.625,-10.875,22.375
12.56,-21.48591732,0,10.74295866,0.984693878,-0.019387755,-0.096938776,-115.6875,-11.1875,21.6875
12.63,-7.161972439,-28.64788976,-7.161972439,0.982653061,-0.024489796,-0.103061224,-113.875,-11.1875,21.6875
12.69,-42.97183463,-17.9049311,-3.58098622,0.980612245,-0.021428571,-0.107142857,-113.875,-11.1875,21.6875
12.75,-17.9049311,-14.32394488,-7.161972439,0.980612245,-0.009183673,-0.113265306,-113.5,-9.375,21.6875
12.81,-32.22887598,10.74295866,-3.58098622,0.982653061,-0.005102041,-0.11122449,-115.3125,-10.5,22
12.88,0,0,3.58098622,0.982653061,-0.001020408,-0.11122449,-115.3125,-10.5,22
12.94,3.58098622,3.58098622,14.32394488,0.982653061,-0.015306122,-0.094897959,-113.5625,-9.375,22.375
13.00,-25.06690354,0,10.74295866,0.982653061,-0.017346939,-0.103061224,-113.875,-10.875,20.9375
13.06,21.48591732,-25.06690354,3.58098622,0.982653061,-0.024489796,-0.096938776,-113.875,-10.875,20.9375
13.13,-64.45775195,-3.58098622,0,0.982653061,-0.019387755,-0.105102041,-115,-10.125,21.3125
13.19,14.32394488,-28.64788976,-7.161972439,0.982653061,-0.007142857,-0.116326531,-114.625,-10.5,22.375
13.25,-39.39084842,0,3.58098622,0.982653061,-0.005102041,-0.11122449,-114.625,-10.5,22.375
13.31,14.32394488,-3.58098622,7.161972439,0.980612245,-0.005102041,-0.109183673,-115,-11.1875,23.8125
13.38,-21.48591732,25.06690354,17.9049311,0.984693878,-0.015306122,-0.096938776,-115,-11.1875,23.8125
13.44,21.48591732,3.58098622,14.32394488,0.980612245,-0.017346939,-0.094897959,-115.3125,-11.1875,21.3125
13.50,-35.8098622,-17.9049311,10.74295866,0.984693878,-0.021428571,-0.096938776,-114.25,-9.75,22
13.56,-28.64788976,-14.32394488,-10.74295866,0.980612245,-0.017346939,-0.103061224,-114.25,-9.75,22
13.63,-35.8098622,-21.48591732,-10.74295866,0.978571429,-0.019387755,-0.105102041,-115,-10.5,22.375
13.69,-39.39084842,-17.9049311,-14.32394488,0.982653061,-0.005102041,-0.116326531,-114.625,-10.875,21.6875
13.75,-17.9049311,-21.48591732,-10.74295866,0.980612245,-0.005102041,-0.109183673,-114.625,-10.875,21.6875
13.81,-32.22887598,-17.9049311,3.58098622,0.980612245,-0.001020408,-0.11122449,-115,-10.125,22.375
13.88,7.161972439,-10.74295866,10.74295866,0.984693878,-0.005102041,-0.103061224,-114.625,-10.875,21.6875
13.94,-28.64788976,17.9049311,17.9049311,0.980612245,-0.015306122,-0.098979592,-114.625,-10.875,21.6875
14.00,17.9049311,-14.32394488,7.161972439,0.980612245,-0.019387755,-0.103061224,-115,-10.125,20.9375
14.06,-39.39084842,-25.06690354,10.74295866,0.980612245,-0.032653061,-0.096938776,-114.25,-10.875,21.6875
14.13,-21.48591732,-25.06690354,-14.32394488,0.980612245,-0.021428571,-0.107142857,-114.25,-10.875,21.6875
